Luis Fernandez, 478, <a href='http://en.wikipedia.org/wiki/Luis_Fern%C3%A1ndez'>Luis Fernández</a>
Louis Saha, 478, <a href='http://en.wikipedia.org/wiki/Louis_Saha'>Louis Saha</a>
Kévin Théophile-Catherine, 478, <a href='http://en.wikipedia.org/wiki/K%C3%A9vin_Th%C3%A9ophile-Catherine'>Kévin Théophile-Catherine</a>
Michel Bastos, 477, <a href='http://en.wikipedia.org/wiki/Michel_Bastos'>Michel Bastos</a>
Mathieu Debuchy, 477, <a href='http://en.wikipedia.org/wiki/Mathieu_Debuchy'>Mathieu Debuchy</a>
Chaouki Ben Saada, 477, <a href='http://en.wikipedia.org/wiki/Chaouki_Ben_Saada'>Chaouki Ben Saada</a>
Jeff Reine-Adélaïde, 476, <a href='http://en.wikipedia.org/wiki/Jeff_Reine-Ad%C3%A9la%C3%AFde'>Jeff Reine-Adelaide</a>
Raïs M'Bolhi, 474, <a href='http://en.wikipedia.org/wiki/Ra%C3%AFs_M'Bolhi'>Raïs M'Bolhi</a>
Stéphane Mbia, 473, <a href='http://en.wikipedia.org/wiki/St%C3%A9phane_Mbia'>Stéphane Mbia</a>
Samuel Umtiti, 473, <a href='http://en.wikipedia.org/wiki/Samuel_Umtiti'>Samuel Umtiti</a>
Ousmane Dembélé, 473, <a href='http://en.wikipedia.org/wiki/Ousmane_Demb%C3%A9l%C3%A9'>Ousmane Dembélé</a>
Marc Lévy, 473, <a href='http://en.wikipedia.org/wiki/Marc_Levy'>Marc Levy</a>
Lorik Cana, 473, <a href='http://en.wikipedia.org/wiki/Lorik_Cana'>Lorik Cana</a>
Jirès Kembo-Ekoko, 473, <a href='http://en.wikipedia.org/wiki/Jir%C3%A8s_Kembo_Ekoko'>Jirès Kembo Ekoko</a>
Jean-Luc Ettori, 473, <a href='http://en.wikipedia.org/wiki/Jean-Luc_Ettori'>Jean-Luc Ettori</a>
Saphir Taïder, 472, <a href='http://en.wikipedia.org/wiki/Saphir_Ta%C3%AFder'>Saphir Taïder</a>
Jean-Luc Le Magueresse, 472, <a href='http://google.com/search?q=Jean-Luc Le Magueresse'>Jean-Luc Le Magueresse</a>
Adel Taarabt, 472, <a href='http://en.wikipedia.org/wiki/Adel_Taarabt'>Adel Taarabt</a>
José Lopez, 470, <a href='http://en.wikipedia.org/wiki/Jos%C3%A9_L%C3%B3pez_Portillo'>José López Portillo y Pacheco</a>
Francis Coquelin, 470, <a href='http://en.wikipedia.org/wiki/Francis_Coquelin'>Francis Coquelin</a>
M'Baye Niang, 469, <a href='http://en.wikipedia.org/wiki/M'Baye_Niang'>M'Baye Niang</a>
Frédéric Kanouté, 469, <a href='http://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Kanout%C3%A9'>Frédéric Kanouté</a>
Aïssa Mandi, 468, <a href='http://en.wikipedia.org/wiki/A%C3%AFssa_Mandi'>Aïssa Mandi</a>
Rudi Garcia, 467, <a href='http://en.wikipedia.org/wiki/Rudi_Garc%C3%ADa'>Rudi García</a>
Ludovic Giuly, 467, <a href='http://en.wikipedia.org/wiki/Ludovic_Giuly'>Ludovic Giuly</a>
Sylvain Wiltord, 466, <a href='http://en.wikipedia.org/wiki/Sylvain_Wiltord'>Sylvain Wiltord</a>
Lucas Digne, 466, <a href='http://en.wikipedia.org/wiki/Lucas_Digne'>Lucas Digne</a>
Jérémy Toulalan, 466, <a href='http://en.wikipedia.org/wiki/J%C3%A9r%C3%A9my_Toulalan'>Jérémy Toulalan</a>
Gérard Houllier, 466, <a href='http://en.wikipedia.org/wiki/G%C3%A9rard_Houllier'>Gérard Houllier</a>
Moussa Sow, 465, <a href='http://en.wikipedia.org/wiki/Moussa_Sow'>Moussa Sow</a>
Frank Lebœuf, 465, <a href='http://en.wikipedia.org/wiki/Frank_Leboeuf'>Frank Leboeuf</a>
Dominique Jean-Zéphirin, 465, <a href='http://en.wikipedia.org/wiki/Dominique_Jean-Z%C3%A9phirin'>Dominique Jean-Zéphirin</a>
Christophe Dugarry, 465, <a href='http://en.wikipedia.org/wiki/Christophe_Dugarry'>Christophe Dugarry</a>
